duracion_dias,monto_pagado,infracciones_previas,tipo_vehiculo,zona_circulacion
16.0,19468.61,0,Moto,Zona A
10.0,55405.27,0,Coche,Zona A
17.0,84231.22,0,Furgoneta,Zona B
19.0,55559.08,1,Furgoneta,Zona C
15.0,39529.53,0,Coche,Zona A
24.0,13814.2,0,Moto,Zona D
23.0,31956.15,0,Coche,Zona A
2.0,4442.87,3,Monopatin,Zona A
6.0,103698.87,0,Furgoneta,Zona C
19.0,10674.16,3,Bicicleta,Zona C
8.0,12400.25,0,Bicicleta,Zona C
26.0,135273.51,3,Camion,Zona B
29.0,52824.25,0,Coche,Zona B
3.0,57427.2,0,Coche,Zona A
26.0,119417.185,1,Camion,Zona C
14.0,61805.51,1,Camion,Zona A
15.0,187999.44,1,Camion,Zona D
16.0,33657.46,0,Furgoneta,Zona D
1.0,6723.14,0,Monopatin,Zona C
21.0,50845.8,1,Coche,Zona C
3.0,53852.07,3,Furgoneta,Zona D
15.0,139129.48,4,Camion,Zona C
26.0,48227.92,1,Coche,Zona B
18.0,63619.09,0,Furgoneta,Zona B
9.0,2927.78,0,Monopatin,Zona C
6.0,44827.83,2,Furgoneta,Zona D
23.0,4083.63,2,Monopatin,Zona A
21.0,106068.43,4,Camion,Zona C
25.0,3184.19,1,Monopatin,Zona C
1.0,50577.2,2,Coche,Zona A
21.0,81547.1,2,Camion,Zona C
27.0,55403.31,1,Coche,Zona A
10.0,10955.31,2,Bicicleta,Zona D
27.0,27170.31,0,Moto,Zona B
15.0,4859.25,1,Monopatin,Zona D
23.0,20988.27,4,Moto,Zona B
12.0,35845.74,0,Moto,Zona A
4.0,4709.73,1,Monopatin,Zona B
28.0,209648.06,0,Camion,Zona D
13.0,5160.71,2,Bicicleta,Zona B
17.0,54348.61,1,Coche,Zona A
27.0,113905.37,3,Furgoneta,Zona B
8.0,39647.96,1,Coche,Zona C
26.0,74333.02,0,Furgoneta,Zona D
20.0,59392.2,0,Coche,Zona C
3.0,5581.84,2,Monopatin,Zona A
12.0,9343.28,0,Bicicleta,Zona B
7.0,107846.2,1,Furgoneta,Zona C
12.0,107516.85,0,Camion,Zona C
2.0,71555.39,3,Coche,Zona B
24.0,24199.78,0,Coche,Zona B
14.0,105858.5,3,Furgoneta,Zona D
22.0,161299.4,1,Camion,Zona C
23.0,92119.07,0,Camion,Zona C
5.0,2824.05,1,Monopatin,Zona A
9.0,4651.75,3,Monopatin,Zona D
21.0,5605.7,2,Monopatin,Zona A
11.0,4497.35,0,Monopatin,Zona C
5.0,5752.91,4,Monopatin,Zona A
3.0,7906.62,0,Monopatin,Zona C
27.0,4724.69,0,Bicicleta,Zona C
17.0,49652.22,1,Camion,Zona A
2.0,4896.05,0,Monopatin,Zona A
24.0,95513.93,1,Camion,Zona B
1.0,102708.66,1,Camion,Zona B
7.0,34501.85,1,Moto,Zona B
14.0,7710.52,0,Bicicleta,Zona C
15.0,4956.51,1,Monopatin,Zona A
19.0,43448.04,1,Coche,Zona D
28.0,79068.77,1,Furgoneta,Zona C
28.0,54027.52,2,Coche,Zona D
11.0,14683.01,0,Bicicleta,Zona A
23.0,86711.78,2,Furgoneta,Zona C
15.0,10790.47,2,Bicicleta,Zona D
2.0,126710.39,1,Camion,Zona D
15.0,31333.06,1,Furgoneta,Zona B
9.0,99585.41,0,Camion,Zona B
27.0,54183.66,0,Coche,Zona B
15.0,60851.22,1,Coche,Zona C
2.0,85045.49,0,Furgoneta,Zona A
7.0,102088.43,0,Furgoneta,Zona A
5.0,2810.02,1,Monopatin,Zona B
21.0,8117.1,2,Bicicleta,Zona B
26.0,6991.94,0,Monopatin,Zona B
5.0,5668.26,4,Bicicleta,Zona D
20.0,6680.89,0,Monopatin,Zona B
13.0,158480.67,1,Camion,Zona D
21.0,50311.41,1,Furgoneta,Zona A
29.0,55068.18,0,Coche,Zona C
20.0,8381.15,3,Bicicleta,Zona C
29.0,7576.73,0,Bicicleta,Zona C
6.0,27096.66,0,Coche,Zona C
20.0,4605.41,1,Monopatin,Zona D
18.0,7624.89,1,Bicicleta,Zona D
25.0,58861.15,4,Camion,Zona B
2.0,48676.36,0,Furgoneta,Zona D
25.0,36095.07,0,Coche,Zona B
26.0,54841.24,0,Furgoneta,Zona B
6.0,8783.05,1,Bicicleta,Zona C
15.0,10187.63,1,Bicicleta,Zona D
25.0,45341.85,4,Coche,Zona D
3.0,147586.42,1,Camion,Zona B
15.0,32143.66,3,Moto,Zona B
1.0,48720.61,5,Coche,Zona A
19.0,28060.33,0,Moto,Zona A
5.0,4664.98,0,Monopatin,Zona B
13.0,16578.78,0,Moto,Zona A
19.0,93116.66,0,Camion,Zona A
12.0,5489.22,1,Monopatin,Zona B
16.0,24090.03,0,Moto,Zona B
15.0,6105.76,0,Monopatin,Zona D
25.0,10847.6,0,Moto,Zona B
19.0,60723.42,0,Camion,Zona B
3.0,13538.31,0,Moto,Zona C
12.0,26249.9,0,Moto,Zona D
5.0,14664.23,0,Moto,Zona D
2.0,54801.94,0,Coche,Zona D
22.0,61295.15,2,Coche,Zona C
7.0,72743.75,0,Coche,Zona B
13.0,170612.67,2,Camion,Zona D
25.0,3956.87,1,Monopatin,Zona D
15.0,3992.87,0,Bicicleta,Zona A
22.0,20260.44,1,Moto,Zona D
3.0,32326.27,0,Moto,Zona B
28.0,105971.16,0,Camion,Zona B
21.0,24817.6,2,Moto,Zona A
20.0,41642.59,3,Coche,Zona D
5.0,11794.89,4,Bicicleta,Zona D
24.0,55652.94,1,Furgoneta,Zona D
8.0,25500.74,0,Moto,Zona C
22.0,66623.58,0,Coche,Zona D
1.0,124197.19,1,Furgoneta,Zona B
8.0,6332.47,2,Bicicleta,Zona B
24.0,103059.34,0,Furgoneta,Zona C
18.0,40516.03,3,Coche,Zona C
20.0,7065.74,0,Monopatin,Zona D
28.0,7594.2,1,Monopatin,Zona A
16.0,58649.72,4,Furgoneta,Zona C
15.0,143524.69,3,Camion,Zona C
20.0,106718.88,1,Furgoneta,Zona D
13.0,29107.86,0,Moto,Zona C
13.0,5900.03,0,Monopatin,Zona A
10.0,192347.4,1,Camion,Zona C
7.0,20434.97,1,Coche,Zona D
25.0,24580.65,1,Moto,Zona B
14.0,3124.62,0,Monopatin,Zona C
24.0,8033.12,0,Bicicleta,Zona A
16.0,3825.71,1,Monopatin,Zona C
15.0,23088.12,3,Moto,Zona C
12.0,18443.89,0,Moto,Zona D
9.0,5233.05,2,Monopatin,Zona A
8.0,66108.41,0,Coche,Zona B
18.0,71054.37,1,Furgoneta,Zona A
23.0,35729.67,4,Moto,Zona C
18.0,6565.94,0,Monopatin,Zona C
13.0,8051.1,0,Monopatin,Zona C
28.0,134808.85,0,Camion,Zona A
27.0,78520.54,0,Furgoneta,Zona D
18.0,4195.43,1,Bicicleta,Zona C
15.0,38274.69,0,Coche,Zona C
4.0,7501.03,0,Bicicleta,Zona A
17.0,77851.83,1,Furgoneta,Zona B
5.0,136369.34,1,Furgoneta,Zona B
22.0,75032.56,0,Furgoneta,Zona D
16.0,3755.95,1,Bicicleta,Zona D
15.0,95949.69,1,Furgoneta,Zona C
10.0,5909.75,0,Monopatin,Zona A
24.0,6898.57,1,Bicicleta,Zona C
18.0,131064.09,2,Furgoneta,Zona B
17.0,2155.07,0,Monopatin,Zona A
18.0,164980.46,2,Camion,Zona A
7.0,73013.68,2,Furgoneta,Zona D
4.0,5719.0,2,Bicicleta,Zona B
26.0,43002.99,1,Moto,Zona B
5.0,97680.72,1,Furgoneta,Zona A
28.0,22761.71,2,Moto,Zona C
23.0,4521.85,1,Monopatin,Zona B
16.0,129915.08,0,Camion,Zona C
15.0,43070.55,0,Coche,Zona B
26.0,166785.91,0,Camion,Zona B
18.0,82104.45,0,Furgoneta,Zona C
29.0,32631.73,0,Moto,Zona D
23.0,26559.45,0,Moto,Zona B
21.0,10087.6,4,Bicicleta,Zona B
14.0,35091.32,4,Moto,Zona C
15.0,12034.23,2,Bicicleta,Zona D
17.0,5736.42,5,Monopatin,Zona B
1.0,37001.79,5,Coche,Zona B
25.0,75858.03,3,Furgoneta,Zona D
21.0,7937.27,0,Bicicleta,Zona B
17.0,41401.87,0,Coche,Zona D
23.0,19448.84,1,Moto,Zona D
25.0,26308.75,0,Moto,Zona C
15.0,35250.39,2,Coche,Zona A
17.0,16169.5,0,Moto,Zona D
26.0,2458.35,0,Monopatin,Zona C
29.0,55118.72,1,Coche,Zona B
20.0,7220.78,1,Bicicleta,Zona A
19.0,10386.16,1,Bicicleta,Zona D
15.0,35017.86,0,Coche,Zona D
7.0,8914.1,1,Bicicleta,Zona D
24.0,8129.99,1,Bicicleta,Zona D
13.0,3888.98,2,Monopatin,Zona D
18.0,6817.9,0,Bicicleta,Zona C
23.0,99498.14,0,Camion,Zona D
14.0,86066.1,0,Furgoneta,Zona C
1.0,29450.72,2,Moto,Zona B
7.0,104649.82,0,Camion,Zona D
8.0,6290.95,0,Bicicleta,Zona D
18.0,5205.83,0,Monopatin,Zona A
9.0,25223.73,2,Coche,Zona B
1.0,8082.46,1,Bicicleta,Zona B
29.0,7342.66,1,Monopatin,Zona D
22.0,63104.88,1,Furgoneta,Zona B
17.0,7575.55,0,Bicicleta,Zona C
19.0,65368.43,0,Coche,Zona D
27.0,6132.01,0,Monopatin,Zona A
6.0,5092.76,0,Monopatin,Zona D
3.0,4912.21,2,Monopatin,Zona A
24.0,50346.62,1,Furgoneta,Zona A
5.0,9178.77,1,Bicicleta,Zona D
2.0,47759.0,0,Furgoneta,Zona D
20.0,9511.11,0,Moto,Zona A
25.0,32560.77,0,Moto,Zona B
4.0,8928.77,1,Bicicleta,Zona B
10.0,101113.66,0,Furgoneta,Zona D
10.0,38952.36,0,Coche,Zona C
24.0,5699.55,1,Monopatin,Zona B
21.0,4341.4,4,Monopatin,Zona B
15.0,7214.62,0,Bicicleta,Zona B
27.0,32303.16,0,Moto,Zona C
16.0,23876.57,0,Moto,Zona D
26.0,3955.42,1,Monopatin,Zona C
29.0,4722.76,0,Bicicleta,Zona D
29.0,88656.55,1,Furgoneta,Zona C
17.0,32946.07,1,Moto,Zona B
16.0,61204.92,0,Furgoneta,Zona B
7.0,30167.34,0,Moto,Zona C
16.0,17929.16,0,Moto,Zona C
3.0,146974.88,0,Camion,Zona C
26.0,25246.86,0,Moto,Zona D
16.0,54017.54,1,Coche,Zona B
8.0,6326.22,1,Bicicleta,Zona D
12.0,8858.12,0,Bicicleta,Zona B
3.0,65655.51,1,Furgoneta,Zona A
17.0,21897.45,0,Moto,Zona D
21.0,27235.59,1,Coche,Zona B
18.0,61468.35,2,Furgoneta,Zona B
11.0,101082.17,2,Camion,Zona D
4.0,87507.43,0,Furgoneta,Zona D
16.0,94295.74,1,Furgoneta,Zona B
17.0,20440.51,2,Moto,Zona D
9.0,114080.0,0,Camion,Zona C
6.0,120473.25,1,Furgoneta,Zona D
24.0,51966.63,2,Coche,Zona D
27.0,41946.61,0,Coche,Zona D
20.0,3968.84,0,Bicicleta,Zona B
25.0,89258.79,1,Camion,Zona C
15.0,87856.69,0,Camion,Zona A
9.0,12746.9,0,Bicicleta,Zona A
28.0,59637.02,0,Furgoneta,Zona C
21.0,121837.55,0,Camion,Zona C
29.0,55561.36,0,Coche,Zona C
6.0,66597.87,0,Coche,Zona B
3.0,25060.18,0,Moto,Zona A
20.0,101628.68,1,Camion,Zona C
6.0,66163.12,0,Furgoneta,Zona B
7.0,8855.31,0,Bicicleta,Zona A
1.0,6357.59,0,Bicicleta,Zona D
23.0,53499.65,0,Furgoneta,Zona B
1.0,4234.24,0,Monopatin,Zona A
5.0,15066.37,0,Moto,Zona B
6.0,12441.48,1,Bicicleta,Zona A
13.0,141475.9,0,Camion,Zona A
2.0,37156.33,0,Moto,Zona D
15.0,137475.7,1,Camion,Zona B
15.0,72868.9,0,Coche,Zona C
13.0,27755.98,1,Moto,Zona D
26.0,9742.84,2,Bicicleta,Zona D
25.0,8997.11,0,Moto,Zona A
14.0,18142.53,5,Moto,Zona C
26.0,25276.96,3,Moto,Zona B
22.0,5091.78,0,Monopatin,Zona C
7.0,24427.14,3,Moto,Zona C
14.0,136307.83,2,Camion,Zona C
26.0,57413.04,3,Coche,Zona C
24.0,100762.78,1,Furgoneta,Zona C
27.0,30017.45,1,Moto,Zona A
29.0,10889.81,0,Bicicleta,Zona A
10.0,34091.75,0,Moto,Zona D
17.0,8419.19,0,Bicicleta,Zona B
14.0,194939.36,0,Camion,Zona D
8.0,11262.39,4,Bicicleta,Zona D
4.0,60633.18,0,Furgoneta,Zona B
26.0,55889.05,1,Coche,Zona C
16.0,3577.72,0,Bicicleta,Zona B
15.0,3981.92,0,Bicicleta,Zona B
13.0,42507.59,1,Coche,Zona B
22.0,58989.32,0,Furgoneta,Zona D
27.0,21299.93,4,Moto,Zona A
25.0,8788.39,0,Coche,Zona C
27.0,68379.35,0,Coche,Zona D
20.0,162183.07,0,Camion,Zona D
18.0,56197.91,0,Coche,Zona B
14.0,80863.7,0,Camion,Zona C
18.0,66622.69,0,Furgoneta,Zona D
5.0,29778.87,1,Moto,Zona C
26.0,37608.25,0,Coche,Zona A
9.0,3099.62,0,Monopatin,Zona C
28.0,9181.56,2,Bicicleta,Zona D
15.0,78839.3,0,Furgoneta,Zona B
8.0,46836.21,0,Coche,Zona D
20.0,10663.52,1,Bicicleta,Zona B
22.0,66332.12,1,Coche,Zona C
10.0,184120.25,2,Camion,Zona D
15.0,40228.82,2,Coche,Zona C
19.0,5644.6,0,Monopatin,Zona A
21.0,50285.13,0,Coche,Zona D
28.0,55074.74,0,Coche,Zona B
3.0,3298.43,2,Monopatin,Zona D
11.0,46340.64,0,Furgoneta,Zona A
11.0,49396.76,1,Coche,Zona A
17.0,3736.23,1,Monopatin,Zona A
16.0,10251.7,0,Bicicleta,Zona A
7.0,65975.61,0,Camion,Zona A
4.0,68944.77,0,Camion,Zona B
23.0,43750.06,0,Coche,Zona C
19.0,43086.2,0,Furgoneta,Zona A
12.0,120224.08,0,Furgoneta,Zona A
15.0,7561.0,1,Bicicleta,Zona D
11.0,40957.99,3,Coche,Zona B
5.0,136846.7,1,Camion,Zona B
5.0,101212.36,1,Furgoneta,Zona C
15.0,53104.38,0,Coche,Zona B
29.0,78365.8,0,Furgoneta,Zona D
18.0,3524.79,0,Monopatin,Zona D
11.0,95141.82,0,Furgoneta,Zona C
26.0,171001.31,2,Camion,Zona D
12.0,23352.1,4,Moto,Zona B
2.0,5962.91,0,Bicicleta,Zona A
20.0,8435.59,0,Bicicleta,Zona D
15.0,120095.4,0,Camion,Zona C
20.0,50807.54,0,Furgoneta,Zona B
4.0,42459.67,1,Coche,Zona C
22.0,122923.66,1,Furgoneta,Zona B
18.0,71488.02,2,Camion,Zona D
6.0,6342.51,1,Bicicleta,Zona D
23.0,57230.88,0,Furgoneta,Zona A
27.0,5935.28,4,Bicicleta,Zona B
26.0,43317.85,1,Coche,Zona C
11.0,11140.55,0,Bicicleta,Zona C
28.0,26524.91,2,Moto,Zona A
24.0,19867.14,0,Moto,Zona B
2.0,7309.87,1,Monopatin,Zona B
27.0,9485.77,0,Moto,Zona D
8.0,9616.35,2,Bicicleta,Zona B
29.0,83036.69,1,Camion,Zona D
11.0,7877.78,1,Bicicleta,Zona A
5.0,140271.6,3,Camion,Zona B
18.0,62206.46,3,Camion,Zona D
23.0,26062.4,2,Moto,Zona C
18.0,85243.45,0,Furgoneta,Zona D
14.0,71935.07,0,Coche,Zona B
22.0,45363.62,0,Moto,Zona A
10.0,13352.73,0,Moto,Zona B
15.0,114011.69,3,Furgoneta,Zona B
9.0,49431.8,3,Coche,Zona D
3.0,6059.43,0,Bicicleta,Zona C
11.0,5553.58,0,Monopatin,Zona B
12.0,3046.56,0,Monopatin,Zona B
12.0,5017.73,0,Bicicleta,Zona D
3.0,11986.31,0,Moto,Zona C
21.0,58191.34,1,Coche,Zona D
7.0,27452.59,1,Moto,Zona A
24.0,36427.01,0,Moto,Zona C
28.0,20027.83,0,Moto,Zona A
11.0,11079.18,2,Bicicleta,Zona C
7.0,8292.99,0,Bicicleta,Zona A
25.0,6376.72,0,Bicicleta,Zona B
21.0,4827.53,0,Monopatin,Zona D
